# log_start_utc=2026-07-01T21:05:22.244Z  tz_offset=-05:00  logger=plants_logger_0_4  schema_version=1
# boot plants controller fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# plants telemetry  schema_version=1  contract=docs/TELEMETRY_SCHEMA.md@v1
# fw=0.7.0  git=e5ae530  built=Jul  1 2026 15:32:45  run=4probe-coloc-origplant
# device_id=Sprout ESP32 (default)  chip=ESP32-D0WD-V3  adc=ADC1,12bit,11dB,eFuseCal=off
# board: esp32-classic  wifi=yes  channels=4  adc=12bit  storage=nvs  tier0=monitor(untethered-ready)
# session_id=63b032  cadence_ms=5000  cadence_src=nvs
# sensors: ch0=GPIO36/s3@origplant ch1=GPIO39/s4@origplant ch2=GPIO34/s1@origplant ch3=GPIO35/s2@origplant  (model=UMLIFE_v2_TLC555)
# health: ch0=OK ch1=OK ch2=OK ch3=OK  (NO_SIGNAL/SUSPECT = probe fault; supervisor won't water it, latch x3)
# cal bounds(dry>wet): 3050 2140 1830 1520 1150 1050
# cfg: smp=100 trim=15 db=60 confirm_ms=3000/3000/2000 spr=250 discard=4
# safety: fail-safe OFF (4ch CW-022 active-low, off=HIGH)  task-wdt=8000ms  dose<=5000ms  autonomous=disarmed (!auto,on arms; !water=manual dose)
# env(bench): SHT45 ambient_temp/rh + AS7263 NIR(610-860nm) on I2C SDA21/SCL22 - breadboard_near_esp32, CONTEXT not plant-truth [AS7263 init FAILED]
# env cfg: AS7263 gain=16x itime=140ms I2C=100kHz - FIXED, no auto-range (#416); logged per row + here
# device_cols: record_type,session_id,device_id,fw,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,payload
# authoritative: raw_value (ADC counts) + band (payload 'level'); value/unit are NULL - reserved for a future calibrated VWC, never an uncalibrated %.
# time: source=device_uptime (no NTP/RTC yet, #21) - device_seq/time_source ride each row's payload, schema v2 Â§11.1/Â§11.2
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-01T21:40:42.632Z,2026-07-01 16:40:42.632,2548,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2125000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1042,,,OK,,,,,level=submerged;role=diag;spread=19;gpio=35;device_seq=1699;time_source=device_uptime,
plants.env,2026-07-01T21:40:42.711Z,2026-07-01 16:40:42.711,2549,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2125389,SHT45,sht45,breadboard_near_esp32,ambient_temp,27668,28.88,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T21:40:42.789Z,2026-07-01 16:40:42.789,2550,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2125389,SHT45,sht45,breadboard_near_esp32,ambient_rh,27549,46.55,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.soil,2026-07-01T21:40:47.332Z,2026-07-01 16:40:47.332,2551,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2130004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,0,,,SATURATED,,,,,level=submerged;role=diag;spread=0;gpio=36;device_seq=1700;time_source=device_uptime,
plants.soil,2026-07-01T21:40:47.440Z,2026-07-01 16:40:47.440,2552,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2130004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1225,,,OK,,,,,level=well watered;role=disp;spread=13;gpio=39;device_seq=1701;time_source=device_uptime,
plants.soil,2026-07-01T21:40:47.535Z,2026-07-01 16:40:47.535,2553,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2130004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1457,,,OK,,,,,level=well watered;role=disp;spread=14;gpio=34;device_seq=1702;time_source=device_uptime,
plants.soil,2026-07-01T21:40:47.630Z,2026-07-01 16:40:47.630,2554,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2130004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1042,,,OK,,,,,level=submerged;role=diag;spread=18;gpio=35;device_seq=1703;time_source=device_uptime,
plants.env,2026-07-01T21:40:47.709Z,2026-07-01 16:40:47.709,2555,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2130393,SHT45,sht45,breadboard_near_esp32,ambient_temp,27656,28.85,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T21:40:47.789Z,2026-07-01 16:40:47.789,2556,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2130393,SHT45,sht45,breadboard_near_esp32,ambient_rh,27377,46.22,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.soil,2026-07-01T21:40:52.329Z,2026-07-01 16:40:52.329,2557,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2135000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,0,,,SATURATED,,,,,level=submerged;role=diag;spread=0;gpio=36;device_seq=1704;time_source=device_uptime,
plants.soil,2026-07-01T21:40:52.439Z,2026-07-01 16:40:52.439,2558,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2135000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1226,,,OK,,,,,level=well watered;role=disp;spread=19;gpio=39;device_seq=1705;time_source=device_uptime,
plants.soil,2026-07-01T21:40:52.534Z,2026-07-01 16:40:52.534,2559,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2135000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1459,,,OK,,,,,level=well watered;role=disp;spread=2;gpio=34;device_seq=1706;time_source=device_uptime,
plants.soil,2026-07-01T21:40:52.629Z,2026-07-01 16:40:52.629,2560,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2135000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1043,,,OK,,,,,level=submerged;role=diag;spread=17;gpio=35;device_seq=1707;time_source=device_uptime,
plants.env,2026-07-01T21:40:52.709Z,2026-07-01 16:40:52.709,2561,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2135389,SHT45,sht45,breadboard_near_esp32,ambient_temp,27662,28.87,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T21:40:52.788Z,2026-07-01 16:40:52.788,2562,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2135389,SHT45,sht45,breadboard_near_esp32,ambient_rh,27266,46.01,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.soil,2026-07-01T21:40:57.335Z,2026-07-01 16:40:57.335,2563,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2140004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,0,,,SATURATED,,,,,level=submerged;role=diag;spread=0;gpio=36;device_seq=1708;time_source=device_uptime,
plants.soil,2026-07-01T21:40:57.430Z,2026-07-01 16:40:57.430,2564,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2140004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1225,,,OK,,,,,level=well watered;role=disp;spread=11;gpio=39;device_seq=1709;time_source=device_uptime,
plants.soil,2026-07-01T21:40:57.541Z,2026-07-01 16:40:57.541,2565,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2140004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1458,,,OK,,,,,level=well watered;role=disp;spread=12;gpio=34;device_seq=1710;time_source=device_uptime,
plants.soil,2026-07-01T21:40:57.636Z,2026-07-01 16:40:57.636,2566,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2140004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1043,,,OK,,,,,level=submerged;role=diag;spread=17;gpio=35;device_seq=1711;time_source=device_uptime,
plants.env,2026-07-01T21:40:57.715Z,2026-07-01 16:40:57.715,2567,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2140393,SHT45,sht45,breadboard_near_esp32,ambient_temp,27650,28.83,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T21:40:57.779Z,2026-07-01 16:40:57.779,2568,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2140393,SHT45,sht45,breadboard_near_esp32,ambient_rh,27266,46.01,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.soil,2026-07-01T21:41:02.329Z,2026-07-01 16:41:02.329,2569,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2145000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,0,,,SATURATED,,,,,level=submerged;role=diag;spread=0;gpio=36;device_seq=1712;time_source=device_uptime,
plants.soil,2026-07-01T21:41:02.440Z,2026-07-01 16:41:02.440,2570,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2145000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1225,,,OK,,,,,level=well watered;role=disp;spread=15;gpio=39;device_seq=1713;time_source=device_uptime,
plants.soil,2026-07-01T21:41:02.535Z,2026-07-01 16:41:02.535,2571,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,2145000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1460,,,OK,,,,,level=well watered;role=disp;spread=24;gpio=34;device_seq=1714;time_source=device_uptime,
