# log_start_utc=2026-07-01T19:04:44.290Z  tz_offset=-05:00  logger=plants_logger_0_4  schema_version=1
# boot plants controller fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# plants telemetry  schema_version=1  contract=docs/TELEMETRY_SCHEMA.md@v1
# fw=0.7.0  git=156ca68  built=Jul  1 2026 12:04:55  run=4probe-coloc-origplant
# device_id=Sprout ESP32 (default)  chip=ESP32-D0WD-V3  adc=ADC1,12bit,11dB,eFuseCal=off
# board: esp32-classic  wifi=yes  channels=4  adc=12bit  storage=nvs  tier0=monitor(untethered-ready)
# session_id=9227ed  cadence_ms=5000  cadence_src=nvs
# sensors: ch0=GPIO36/s3@origplant ch1=GPIO39/s4@origplant ch2=GPIO34/s1@origplant ch3=GPIO35/s2@origplant  (model=UMLIFE_v2_TLC555)
# health: ch0=OK ch1=OK ch2=OK ch3=OK  (NO_SIGNAL/SUSPECT = probe fault; supervisor won't water it, latch x3)
# cal bounds(dry>wet): 3050 2140 1830 1520 1150 1050
# cfg: smp=100 trim=15 db=60 confirm_ms=3000/3000/2000 spr=250 discard=4
# safety: fail-safe OFF (4ch CW-022 active-low, off=HIGH)  task-wdt=8000ms  dose<=5000ms  autonomous=disarmed (!auto,on arms; !water=manual dose)
# env(bench): SHT45 ambient_temp/rh + AS7263 NIR(610-860nm) on I2C SDA21/SCL22 - breadboard_near_esp32, CONTEXT not plant-truth
# env cfg: AS7263 gain=16x itime=140ms I2C=100kHz - FIXED, no auto-range (#416); logged per row + here
# device_cols: record_type,session_id,device_id,fw,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,payload
# authoritative: raw_value (ADC counts) + band (payload 'level'); value/unit are NULL - reserved for a future calibrated VWC, never an uncalibrated %.
# irrig ev=probe_not_in_soil ch=0 level=air-dry raw=3179 spread=22 t=2115
# irrig ev=probe_not_in_soil ch=1 level=air-dry raw=3174 spread=41 t=2115
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.env,2026-07-01T19:07:40.097Z,2026-07-01 14:07:40.097,431,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,180266,AS7263,as7263,breadboard_near_esp32,nir_810,62,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:40.172Z,2026-07-01 14:07:40.172,432,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,180266,AS7263,as7263,breadboard_near_esp32,nir_860,362,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.soil,2026-07-01T19:07:44.309Z,2026-07-01 14:07:44.309,433,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3176,,,OK,,,,,level=air-dry;role=diag;spread=23;gpio=36,
plants.soil,2026-07-01T19:07:44.387Z,2026-07-01 14:07:44.387,434,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3174,,,OK,,,,,level=air-dry;role=diag;spread=50;gpio=39,
plants.soil,2026-07-01T19:07:44.466Z,2026-07-01 14:07:44.466,435,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1495,,,OK,,,,,level=well watered;role=disp;spread=30;gpio=34,
plants.soil,2026-07-01T19:07:44.534Z,2026-07-01 14:07:44.534,436,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1772,,,OK,,,,,level=OK;role=disp;spread=17;gpio=35,
plants.env,2026-07-01T19:07:44.612Z,2026-07-01 14:07:44.612,437,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185266,SHT45,sht45,breadboard_near_esp32,ambient_temp,27279,27.84,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T19:07:44.675Z,2026-07-01 14:07:44.675,438,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185266,SHT45,sht45,breadboard_near_esp32,ambient_rh,28250,47.88,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T19:07:44.785Z,2026-07-01 14:07:44.785,439,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185266,AS7263,as7263,breadboard_near_esp32,nir_610,27,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:44.866Z,2026-07-01 14:07:44.866,440,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185266,AS7263,as7263,breadboard_near_esp32,nir_680,363,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:44.950Z,2026-07-01 14:07:44.950,441,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185266,AS7263,as7263,breadboard_near_esp32,nir_730,42,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:45.021Z,2026-07-01 14:07:45.021,442,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185266,AS7263,as7263,breadboard_near_esp32,nir_760,54,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:45.100Z,2026-07-01 14:07:45.100,443,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185266,AS7263,as7263,breadboard_near_esp32,nir_810,61,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:45.179Z,2026-07-01 14:07:45.179,444,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,185266,AS7263,as7263,breadboard_near_esp32,nir_860,353,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.soil,2026-07-01T19:07:49.312Z,2026-07-01 14:07:49.312,445,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3172,,,OK,,,,,level=air-dry;role=diag;spread=22;gpio=36,
plants.soil,2026-07-01T19:07:49.387Z,2026-07-01 14:07:49.387,446,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3177,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=39,
plants.soil,2026-07-01T19:07:49.466Z,2026-07-01 14:07:49.466,447,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1496,,,OK,,,,,level=well watered;role=disp;spread=22;gpio=34,
plants.soil,2026-07-01T19:07:49.524Z,2026-07-01 14:07:49.524,448,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1774,,,OK,,,,,level=OK;role=disp;spread=10;gpio=35,
plants.env,2026-07-01T19:07:49.604Z,2026-07-01 14:07:49.604,449,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190266,SHT45,sht45,breadboard_near_esp32,ambient_temp,27286,27.86,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T19:07:49.683Z,2026-07-01 14:07:49.683,450,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190266,SHT45,sht45,breadboard_near_esp32,ambient_rh,28331,48.04,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T19:07:49.793Z,2026-07-01 14:07:49.793,451,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190266,AS7263,as7263,breadboard_near_esp32,nir_610,27,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:49.859Z,2026-07-01 14:07:49.859,452,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190266,AS7263,as7263,breadboard_near_esp32,nir_680,353,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:49.941Z,2026-07-01 14:07:49.941,453,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190266,AS7263,as7263,breadboard_near_esp32,nir_730,41,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:50.021Z,2026-07-01 14:07:50.021,454,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190266,AS7263,as7263,breadboard_near_esp32,nir_760,53,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:50.100Z,2026-07-01 14:07:50.100,455,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190266,AS7263,as7263,breadboard_near_esp32,nir_810,60,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:07:50.179Z,2026-07-01 14:07:50.179,456,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,190266,AS7263,as7263,breadboard_near_esp32,nir_860,343,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.soil,2026-07-01T19:07:54.312Z,2026-07-01 14:07:54.312,457,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,195000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3175,,,OK,,,,,level=air-dry;role=diag;spread=24;gpio=36,
plants.soil,2026-07-01T19:07:54.379Z,2026-07-01 14:07:54.379,458,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,195000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3175,,,OK,,,,,level=air-dry;role=diag;spread=45;gpio=39,
plants.soil,2026-07-01T19:07:54.462Z,2026-07-01 14:07:54.462,459,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,195000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1493,,,OK,,,,,level=well watered;role=disp;spread=30;gpio=34,
plants.soil,2026-07-01T19:07:54.528Z,2026-07-01 14:07:54.528,460,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,195000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1777,,,OK,,,,,level=OK;role=disp;spread=11;gpio=35,
