# log_start_utc=2026-07-27T00:00:05.102Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-27T16:05:21.246Z,2026-07-27 11:05:21.246,14097,6762df,y9d41p,0.7.3,fleet_logger_0_1,525210036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1613,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=22;gpio=39;device_seq=70025;time_source=device_synced;device_timestamp_utc=2026-07-27T16:05:16.236Z;config_id=257fa022;rssi=-68;uptime_s=525210;heap=195628;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:05:21.246Z,2026-07-27 11:05:21.246,14098,6762df,y9d41p,0.7.3,fleet_logger_0_1,525210036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1845,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=28;gpio=34;device_seq=70026;time_source=device_synced;device_timestamp_utc=2026-07-27T16:05:16.236Z;config_id=257fa022;rssi=-68;uptime_s=525210;heap=195628;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:05:21.246Z,2026-07-27 11:05:21.246,14099,6762df,y9d41p,0.7.3,fleet_logger_0_1,525210036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1831,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=14;gpio=35;device_seq=70027;time_source=device_synced;device_timestamp_utc=2026-07-27T16:05:16.236Z;config_id=257fa022;rssi=-68;uptime_s=525210;heap=195628;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T16:05:21.246Z,2026-07-27 11:05:21.246,14100,6762df,y9d41p,0.7.3,fleet_logger_0_1,525210791,ESP32,esp32_die,on_chip,die_temp,,53.33,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T16:05:52.378Z,2026-07-27 11:05:52.378,14101,6762df,y9d41p,0.7.3,fleet_logger_0_1,525240036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1528,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=32;gpio=36;device_seq=70028;time_source=device_synced;device_timestamp_utc=2026-07-27T16:05:46.236Z;config_id=257fa022;rssi=-57;uptime_s=525240;heap=195640;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:05:52.378Z,2026-07-27 11:05:52.378,14102,6762df,y9d41p,0.7.3,fleet_logger_0_1,525240036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1612,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=32;gpio=39;device_seq=70029;time_source=device_synced;device_timestamp_utc=2026-07-27T16:05:46.236Z;config_id=257fa022;rssi=-57;uptime_s=525240;heap=195640;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:05:52.378Z,2026-07-27 11:05:52.378,14103,6762df,y9d41p,0.7.3,fleet_logger_0_1,525240036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1846,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=16;gpio=34;device_seq=70030;time_source=device_synced;device_timestamp_utc=2026-07-27T16:05:46.236Z;config_id=257fa022;rssi=-57;uptime_s=525240;heap=195640;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:05:52.378Z,2026-07-27 11:05:52.378,14104,6762df,y9d41p,0.7.3,fleet_logger_0_1,525240036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1834,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=14;gpio=35;device_seq=70031;time_source=device_synced;device_timestamp_utc=2026-07-27T16:05:46.236Z;config_id=257fa022;rssi=-57;uptime_s=525240;heap=195640;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T16:05:52.378Z,2026-07-27 11:05:52.378,14105,6762df,y9d41p,0.7.3,fleet_logger_0_1,525240791,ESP32,esp32_die,on_chip,die_temp,,53.33,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T16:06:22.787Z,2026-07-27 11:06:22.787,14106,6762df,y9d41p,0.7.3,fleet_logger_0_1,525270036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1543,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=28;gpio=36;device_seq=70032;time_source=device_synced;device_timestamp_utc=2026-07-27T16:06:16.236Z;config_id=257fa022;rssi=-59;uptime_s=525270;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
